20,-543,837,-254,-232,51,-1025,948,-2996,11432,-920,2415,-11448,13724,368,14496,-7349,-7542,-22402,-26,130,16,16,177,179,167,0,0
-226,-398,790,-224,-312,46,-88,229,475,10709,-785,2845,-12044,7876,-2900,11892,-1121,-414,4346,-14,174,26,16,177,179,167,0,0
-163,-260,998,-225,-329,60,863,-1503,1875,11902,-813,1912,-11066,5464,-1776,17152,11146,7223,15097,-20,160,20,16,177,179,167,0,0
36,-94,983,-260,-246,113,1105,-517,2739,13336,-528,697,-9478,2668,1044,16688,3402,8585,21807,-33,119,-1,16,177,179,167,0,0
-4,-201,959,-291,-147,148,1256,-60,3958,14823,209,66,-6976,1420,1244,16984,249,9461,32767,-33,119,-1,16,177,179,167,0,0
40,-42,980,-315,22,176,630,-215,3253,15855,716,-382,-4049,-4008,1592,17928,1553,4446,25280,-33,53,-7,16,177,179,167,0,0
50,117,1000,-272,137,179,12,140,1694,14319,455,-794,-7909,-2072,1292,17520,-1426,-582,12610,-19,21,-9,16,177,179,167,0,0
146,153,972,-243,171,182,-311,160,300,14670,311,-597,-7265,-480,2516,17204,-1347,-2090,2128,-8,0,-6,16,177,179,167,0,0
96,129,977,-235,198,172,61,94,-502,14705,295,-504,-7200,-1444,1364,17396,-1331,897,-4598,-10,8,-6,16,177,179,167,0,0
45,38,885,-244,187,161,20,410,-600,14450,505,-311,-7699,-868,508,15848,-3434,-286,-4393,-10,8,-6,16,177,179,167,0,0
-60,140,991,-268,158,172,193,289,-871,14170,682,-25,-8197,-3332,-1156,17532,-1879,1750,-8243,-26,12,-4,16,177,179,167,0,0
-44,51,978,-280,140,142,224,46,-99,13731,863,5,-8897,-416,-284,17032,-482,1062,80,-26,18,4,16,177,179,167,0,0
16,38,933,-304,140,166,42,-66,388,13819,898,-20,-8756,-304,248,16516,674,220,4364,-30,20,2,16,177,179,167,0,0
-25,259,1026,-304,158,166,-12,-213,-641,13905,808,-176,-8625,-6328,-756,18488,1518,-227,-8375,-30,20,2,16,177,179,167,0,0
12,129,942,-292,134,161,-108,122,-3402,12782,724,-71,-10224,-2612,1492,15976,-803,-1901,-29059,-29,27,3,16,177,179,167,0,0
-10,-136,925,-344,19,155,-853,154,-2451,10820,356,482,-12289,2072,-400,16936,-1887,-5720,-15798,-29,59,3,16,177,179,167,0,0
