-173,-1021,114,-152,-257,267,527,470,-53,11031,-11623,3245,-1070,16660,-3908,2860,-4103,4049,-336,15,173,-25,0,0
-311,-1300,4,-169,-244,267,-66,276,-278,11173,-11388,3411,-1508,22596,-5480,-544,-1733,-2425,-2270,9,159,-33,0,0
-38,-1076,-404,-192,-233,262,-429,-138,-189,10762,-11800,3324,-1526,17980,-4,-4972,-299,-2604,-1075,2,170,-26,0,0
2,-746,-486,-163,-268,236,-550,-78,-234,10380,-12113,3370,-1619,12084,-1720,-6628,1308,-2208,-1681,2,170,-26,0,0
49,-844,-242,-176,-286,219,-131,-83,-179,10331,-12208,3173,-1607,14608,952,-3620,260,-1859,-1399,13,171,-13,0,0
-66,-882,-374,-169,-286,206,-261,-246,-197,10135,-12409,3031,-1590,14956,-1064,-5120,1646,-1762,-1421,21,183,-23,0,0
1,-946,-295,-152,-286,224,-76,-223,-132,10026,-12551,2840,-1524,16400,72,-4812,1495,-869,-977,16,170,-16,0,0
-13,-904,-298,-140,-286,224,33,-172,-44,10064,-12571,2660,-1426,15424,-468,-3952,1447,724,-267,20,180,-16,0,0
-66,-935,-289,-134,-291,219,75,-231,28,10190,-12514,2515,-1297,15928,-1132,-3944,1623,1025,486,20,180,-16,0,0
-53,-923,-231,-123,-297,224,236,-262,151,10398,-12379,2425,-1096,15252,-1624,-2952,1711,2165,1535,26,170,-22,0,0
-31,-1035,-335,-134,-280,219,91,-47,203,10561,-12247,2469,-908,16284,-1440,-5024,179,1747,1530,18,174,-28,0,0
-186,-877,-109,-134,-280,243,183,-63,92,10856,-11985,2499,-838,15196,-3260,-1892,68,-97,683,24,164,-28,0,0
-168,-969,-178,-118,-268,248,6,27,71,10875,-11959,2548,-802,16356,-2924,-2292,-694,-129,713,25,169,-31,0,0
-173,-926,-131,-123,-268,243,-8,61,30,10839,-11969,2659,-795,15688,-3212,-1644,-745,-86,320,25,169,-31,0,0
-177,-956,-108,-140,-251,256,-20,91,15,10846,-11942,2744,-823,16168,-3060,-1048,-1042,-531,203,22,172,-34,0,0
-182,-956,-106,-134,-251,249,-29,85,-9,10786,-11975,2816,-865,16128,-3396,-916,-883,-277,23,26,166,-30,0,0
-202,-968,-68,-140,-257,249,29,-32,-50,10826,-11933,2842,-868,16144,-3380,-136,118,94,-331,23,163,-25,0,0
-150,-946,-87,-134,-262,249,-26,-52,-106,10849,-11932,2761,-849,15604,-2592,-356,-201,-576,-750,26,172,-32,0,0
-56,-825,-111,-123,-262,256,-238,252,-57,10726,-12020,2816,-984,15696,-668,-1800,-2195,-2289,-322,26,172,-32,0,0
-220,-1039,16,-152,-268,236,-1,-279,-55,10677,-12063,2808,-1007,17004,-2608,2756,1171,-549,-440,23,173,-23,0,0
-45,-905,-139,-140,-268,249,-352,-69,-120,10427,-12298,2741,-986,14996,-1696,-1460,484,-2499,-1019,24,166,-22,0,0
-120,-968,-66,-134,-273,243,-9,-275,-383,10334,-12436,2459,-972,16240,-1364,12,1532,-370,-3031,28,180,-16,0,0
47,-926,-107,-118,-296,230,459,-92,-56,10464,-12370,2205,-1030,14928,-444,-484,1165,2911,317,28,176,-18,0,0
-9,-1035,-63,-94,-280,243,-29,-397,-36,10593,-12308,2019,-812,17992,-2108,-1292,3253,-1762,341,28,176,-18,0,0
-22,-1103,58,-99,-291,249,147,-703,98,10681,-12298,1714,-426,18660,556,3100,4550,-1559,2146,42,172,-20,0,0
-257,-1212,-214,-99,-280,230,-632,-371,693,10159,-12709,1924,131,19304,-3788,-784,3533,-243,2882,38,186,-16,0,0
-55,-959,-280,-104,-297,224,-106,797,398,10067,-12709,2350,231,13712,-2180,-5556,-7584,-1369,2214,27,187,-17,0,0
-361,-648,-731,-110,-280,212,-651,337,70,10015,-12623,2957,-246,11464,-5480,-9952,-1759,-489,957,8,176,-8,0,0
-274,-811,-271,-139,-304,206,311,-138,47,10116,-12511,3082,-279,13600,-5112,-3824,656,862,487,8,176,-8,0,0
-190,-832,-321,-145,-286,219,176,62,72,10219,-12425,3093,-252,14684,-2608,-4144,-788,1434,536,21,177,-13,0,0
-256,-874,-270,-145,-273,193,431,-26,0,10391,-12269,3135,-307,14376,-4312,-2728,-376,2937,134,18,182,-10,0,0
-209,-895,-189,-134,-273,219,382,97,-26,10619,-12064,3158,-428,15676,-3012,-2228,-1496,2366,-399,19,169,-23,0,0
-247,-872,-255,-140,-272,219,149,201,-39,10727,-11940,3231,-608,14652,-4004,-3140,-1470,900,-396,19,169,-23,0,0
-234,-930,-202,-152,-256,206,45,64,-67,10725,-11920,3287,-715,15324,-3792,-2596,-754,537,-462,16,172,-24,0,0
-190,-954,-187,-123,-243,249,211,-77,-125,10777,-11886,3226,-777,16116,-3448,-2348,278,1557,-876,26,160,-14,0,0
-124,-959,-124,-147,-256,236,46,-48,-79,10855,-11845,3109,-806,16196,-2276,-1116,117,302,-521,28,156,-26,0,0
-126,-934,-172,-134,-249,230,-30,-23,-46,10844,-11867,3056,-830,15876,-2288,-2052,-67,-328,-282,30,162,-24,0,0
-108,-957,-126,-128,-249,238,-75,-36,-47,10812,-11915,2976,-835,16140,-2044,-1152,43,-667,-255,30,162,-24,0,0
