unix = 1717286782, lat = -38.835831, lon = -72.697945, alt = 67.400002, bat% = 85, batmV = 3993, regCount = 0
unix = 1717286902, lat = -38.835773, lon = -72.697929, alt = 63.400002, bat% = 85, batmV = 3993, regCount = 0
unix = 1717287022, lat = -38.835793, lon = -72.697906, alt = 69.400002, bat% = 85, batmV = 3993, regCount = 0
unix = 1717287142, lat = -38.835922, lon = -72.697945, alt = 74.699997, bat% = 85, batmV = 3993, regCount = 0
unix = 1717287262, lat = -38.835766, lon = -72.697922, alt = 55.700001, bat% = 85, batmV = 3993, regCount = 0
unix = 1717287382, lat = -38.835819, lon = -72.697891, alt = 76.599998, bat% = 85, batmV = 3993, regCount = 0
unix = 1717287502, lat = -38.835751, lon = -72.697952, alt = 50.200001, bat% = 85, batmV = 3993, regCount = 0
unix = 1717287622, lat = -38.835728, lon = -72.697960, alt = 40.500000, bat% = 85, batmV = 3993, regCount = 0
unix = 1717287742, lat = -38.835777, lon = -72.697922, alt = 65.800003, bat% = 85, batmV = 3993, regCount = 0
unix = 1717287862, lat = -38.835888, lon = -72.697960, alt = 77.500000, bat% = 85, batmV = 3993, regCount = 0
unix = 1717287982, lat = -38.835777, lon = -72.697937, alt = 57.299999, bat% = 85, batmV = 3993, regCount = 0
unix = 1717288102, lat = -38.835819, lon = -72.697899, alt = 65.400002, bat% = 85, batmV = 3993, regCount = 0
unix = 1717288222, lat = -38.835690, lon = -72.697906, alt = 53.599998, bat% = 85, batmV = 3993, regCount = 0
unix = 1717288342, lat = -38.835785, lon = -72.698349, alt = 45.400002, bat% = 85, batmV = 3993, regCount = 0
unix = 1717288462, lat = -38.835724, lon = -72.697929, alt = 58.400002, bat% = 84, batmV = 3988, regCount = 0
unix = 1717288582, lat = -38.835846, lon = -72.697968, alt = 67.099998, bat% = 84, batmV = 3988, regCount = 0
unix = 1717288702, lat = -38.835815, lon = -72.697945, alt = 62.000000, bat% = 84, batmV = 3988, regCount = 0
unix = 1717288822, lat = -38.835773, lon = -72.697960, alt = 56.599998, bat% = 84, batmV = 3988, regCount = 0
unix = 1717288942, lat = -38.835812, lon = -72.697929, alt = 62.700001, bat% = 84, batmV = 3988, regCount = 0
unix = 1717289062, lat = -38.835808, lon = -72.697952, alt = 60.799999, bat% = 84, batmV = 3988, regCount = 0
unix = 1717289182, lat = -38.835854, lon = -72.697922, alt = 69.400002, bat% = 84, batmV = 3988, regCount = 0
unix = 1717289302, lat = -38.835850, lon = -72.697914, alt = 54.099998, bat% = 84, batmV = 3988, regCount = 0
unix = 1717289422, lat = -38.835770, lon = -72.697952, alt = 58.400002, bat% = 84, batmV = 3988, regCount = 0
unix = 1717289542, lat = -38.835793, lon = -72.697990, alt = 73.300003, bat% = 85, batmV = 3993, regCount = 0
unix = 1717289662, lat = -38.835800, lon = -72.697929, alt = 70.199997, bat% = 84, batmV = 3988, regCount = 0
unix = 1717289782, lat = -38.835842, lon = -72.697983, alt = 62.000000, bat% = 84, batmV = 3988, regCount = 0
unix = 1717289902, lat = -38.835796, lon = -72.697929, alt = 65.300003, bat% = 84, batmV = 3988, regCount = 0
unix = 1717290022, lat = -38.835861, lon = -72.697929, alt = 51.500000, bat% = 84, batmV = 3988, regCount = 0
unix = 1717290142, lat = -38.835800, lon = -72.697929, alt = 78.300003, bat% = 84, batmV = 3988, regCount = 0
